Aircraft Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AircraftID,EquipmentType,TypeCode,Year,Make,Model,Category,Class,GearType,EngineType,Complex,HighPerformance,Pressurized,TAA
TC-JRI,,,,Airbus,A321,2,5,,,False,False,,
TC-YAR,,,,Airbus,A321,2,5,,,False,False,,
TC-JRD,,,,Airbus,A321,2,5,,,False,False,,
TC-JUA,,,,Airbus,A319,2,5,,,False,False,,
TC-JTH,,,,Airbus,A321,2,5,,,False,False,,
TC-JRB,,,,Airbus,A321,2,5,,,False,False,,
TC-JSR,,,,Airbus,A321,2,5,,,False,False,,
TC-JTG,,,,Airbus,A321,2,5,,,False,False,,
TC-JPL,,,,Airbus,A320,2,5,,,False,False,,
TC-JRF,,,,Airbus,A321,2,5,,,False,False,,
TC-JSD,,,,Airbus,A321,2,5,,,False,False,,
TC-JLT,,,,Airbus,A319,2,5,,,False,False,,
TC-JPC,,,,Airbus,A320,2,5,,,False,False,,
TC-JSK,,,,Airbus,A321,2,5,,,False,False,,
TC-JSJ,,,,Airbus,A321,2,5,,,False,False,,
TC-JTK,,,,Airbus,A321,2,5,,,False,False,,
TC-JSC,,,,Airbus,A321,2,5,,,False,False,,
TC-JTN,,,,Airbus,A321,2,5,,,False,False,,
EU-UKTK534,,,,AIRBUS,A320,2,5,,,False,False,,
TC-JSG,,,,Airbus,A321,2,5,,,False,False,,
TC-JFR,,,,,A321,2,5,,,False,False,,
TC-JTL,,,,Airbus,A321,2,5,,,False,False,,
TC-JRE,,,,Airbus,A321,2,5,,,False,False,,
TC-JVN,,,,Airbus,A320,2,5,,,False,False,,
TC-JTO,,,,Airbus,A321,2,5,,,False,False,,
TC-JTI,,,,Airbus,A321,2,5,,,False,False,,
TC-JPN,,,,Airbus,A320,2,5,,,False,False,,
TC-JTF,,,,,A321,2,5,,,False,False,,
TC-JTP,,,,,A321,2,5,,,False,False,,
TC-JTJ,,,,,A321,2,5,,,False,False,,
TC-JTR,,,,,A321,2,5,,,False,False,,
OK-OKG,,,,CESSNA,C150,1,5,,,False,False,,
TC-JRG,,,,,A321,2,5,,,False,False,,
UK-CA(625A),,,,Gulfstream,G550,2,5,,,False,True,,
OE-IIS,,,,Gulfstream,G500,2,5,,,True,True,,
OE-LAR,,,,Gulfstream,G450,2,5,,,True,False,,
CZ-06B,,,,Airbus,A320,2,5,,,True,True,,
UK173A/B,,,,Airbus,A320,2,5,,,False,False,,
EI-SIA,,,,Airbus,A320,2,5,,,False,False,,
EI-SIB,,,,Airbus,A320,2,5,,,False,False,,
EI-SIC,,,,Airbus,A320,2,5,,,False,False,,
EI-SID,,,,Airbus,A320,2,5,,,False,False,,
EI-SIE,,,,Airbus,A320,2,5,,,False,False,,
NoTAIL,,,,,Model X,2,5,,,False,False,,
EI-SIF,,,,,A20N,2,5,,,False,False,,
EI-SIG,,,,,A20N,2,5,,,False,False,,
EI-SIH,,,,,A20N,2,5,,,False,False,,
EI-SII,,,,,A20N,2,5,,,False,False,,
XX-REG,,,,,ACFT-X,2,5,,,False,False,,
XX-SIM,,,,,SIM-X,2,5,,,False,False,,
XX-DRONE,,,,,DRONE-X,1,1,,,False,False,,
N5CC,,,,CIRRUS,SR22T,1,5,,,True,True,,
N743BA,,,,ICON,I5,1,5,,,False,False,,
N1946H,,,,Piper,PA28,1,5,,,False,False,,
N44348,,,,,WARRIOR,1,5,,,False,False,,
OK-MMA,,,,CESSNA,172,1,5,,,False,False,,
N7174C,,,,Piper,PA28,1,5,,,False,False,,


Flights Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,AircraftID,From,To,Route,TimeOut,TimeOff,TimeOn,TimeIn,OnDuty,OffDuty,TotalTime,PIC,SIC,Night,Solo,CrossCountry,NVG,NVGOps,Distance,DayTakeoffs,DayLandingsFullStop,NightTakeoffs,NightLandingsFullStop,AllLandings,ActualInstrument,SimulatedInstrument,HobbsStart,HobbsEnd,TachStart,TachEnd,Holds,Approach1,Approach2,Approach3,Approach4,Approach5,Approach6,DualGiven,DualReceived,SimulatedFlight,GroundTraining,InstructorName,InstructorComments,Person1,Person2,Person3,Person4,Person5,Person6,FlightReview,Checkride,IPC,NVGProficiency,FAA6158,[Text]CustomFieldName,[Numeric]CustomFieldName,[Hours]CustomFieldName,[Counter]CustomFieldName,[Date]CustomFieldName,[DateTime]CustomFieldName,[Toggle]CustomFieldName,PilotComments
1998-03-16,PH-ALI,,,,,,,,,,60,0,0,0,,0,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,60,,,,,,SELF,,,,,,,,,,,,,,,,,,intro C150 keurig
1998-03-29,PH-GRA,,,,,,,,,,60,0,0,0,,0,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,60,,,,,,SELF,,,,,,,,,,,,,,,,,,horizontal flight
1998-06-01,PH-ALI,,,,,,,,,,65,0,0,0,,0,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,65,,,,,,SELF,,,,,,,,,,,,,,,,,,klim/daal/glijvl
1998-06-04,PH-GRA,,,,,,,,,,70,0,0,0,,0,,,,2,2,0,0,2,0,0,0.0,0.0,,,0,,,,,,,70,,,,,,SELF,,,,,,,,,,,,,,,,,,
1998-06-15,PH-SKF,,,,,,,,,,60,0,0,0,,0,,,,2,2,0,0,2,0,0,0.0,0.0,,,0,,,,,,,60,,,,,,SELF,MULLER P.,,,,,,,,,,,,,,,,,"slow flight, climbs, descends"
1998-06-20,PH-VRW,,,,,,,,,,60,0,0,0,,0,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,60,,,,,,SELF,MULLER P.,,,,,,,,,,,,,,,,,stalls
1998-06-24,PH-SKF,,,,,,,,,,60,0,0,0,,0,,,,3,3,0,0,3,0,0,0.0,0.0,,,0,,,,,,,60,,,,,,SELF,MULLER P.,,,,,,,,,,,,,,,,,intro t/goÂ´s
1998-06-27,PH-SKF,,,,,,,,,,60,0,0,0,,0,,,,5,5,0,0,5,0,0,0.0,0.0,,,0,,,,,,,60,,,,,,SELF,MULLER P.,,,,,,,,,,,,,,,,,t/go + glide-in intro
1998-07-01,PH-SKF,,,,,,,,,,60,0,0,0,,0,,,,6,6,0,0,6,0,0,0.0,0.0,,,0,,,,,,,60,,,,,,SELF,MULLER P.,,,,,,,,,,,,,,,,,t/goÂ´s
1998-07-04,PH-SKF,,,,,,,,,,50,0,0,0,,0,,,,5,5,0,0,5,0,0,0.0,0.0,,,0,,,,,,,50,,,,,,SELF,MULLER P.,,,,,,,,,,,,,,,,,t/goÂ´s + glide-in
1998-07-09,PH-SKF,,,,,,,,,,55,10,0,0,,0,,,,8,8,0,0,8,0,0,0.0,0.0,,,0,,,,,,,45,,,,,,SELF,MULLER P.,,,,,,,,,,,,,,,,,first solo & proficiat
1998-07-11,PH-SKF,,,,,,,,,,60,0,0,0,,0,,,,8,8,0,0,8,0,0,0.0,0.0,,,0,,,,,,,60,,,,,,SELF,MULLER P.,,,,,,,,,,,,,,,,,t/goÂ´s xwind 23 (280/18)
1998-07-15,PH-SKF,,,,,,,,,,65,0,0,0,,0,,,,9,9,0,0,9,0,0,0.0,0.0,,,0,,,,,,,65,,,,,,SELF,MULLER P.,,,,,,,,,,,,,,,,,t/goÂ´s xwind 23 (270/15)
1998-07-18,PH-SKF,,,,,,,,,,80,0,0,0,,0,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,80,,,,,,SELF,MULLER P.,,,,,,,,,,,,,,,,,DBO nav
1998-07-21,PH-SKF,,,,,,,,,,55,0,0,0,,0,,,,7,7,0,0,7,0,0,0.0,0.0,,,0,,,,,,,55,,,,,,SELF,MULLER P.,,,,,,,,,,,,,,,,,t/goÂ´s 700Â´/1000Â´
1998-07-25,PH-VRW,,,,,,,,,,90,0,0,0,,0,,,,4,4,0,0,4,0,0,0.0,0.0,,,0,,,,,,,90,,,,,,SELF,MULLER P.,,,,,,,,,,,,,,,,,t/goÂ´s + nav
1998-08-16,PH-VRW,,,,,,,,,,85,30,0,0,,0,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,55,,,,,,SELF,MULLER P.,,,,,,,,,,,,,,,,,t/goÂ´s + solo
1998-08-24,PH-RVX,,,,,,,,,,40,0,0,0,,0,,,,7,7,0,0,7,0,0,0.0,0.0,,,0,,,,,,,40,,,,,,SELF,,,,,,,,,,,,,,,,,,7 x t/g EHHV
1998-08-28,PH-VRW,,,,,,,,,,60,0,0,0,,0,,,,8,8,0,0,8,0,0,0.0,0.0,,,0,,,,,,,60,,,,,,SELF,MULLER P.,,,,,,,,,,,,,,,,,x/wing t/goÂ´s
1998-09-01,PH-VRW,,,,,,,,,,80,80,0,0,,0,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,SELF,MULLER P.,,,,,,,,,,,,,,,,,xc solo
